Initiative Record ID#,Initative Type,Marketing Projects Record ID#,Page Name,Website,Priority,Assigned To,Initiative CF Status,Content Lauch Date,CF Required Completion Date,CF Actual Start Date,Duration,CF Projected Completion Date,CF Actual Completion Date,Days Overdue,ULDs Req.,ULDs Total Sent to CF  (Queued),ULDs Total Sent to CF (Deficit) or Overage,Contacts Req. For EM,Links Req.,Contacts Total Harvested,Contacts Total Harvested (Deficit) Overage,# of Campaigns,Campaigns,Add Campaign,Contact Finding: History/Notes/Issues,Initiative Email Marketing Status,Email Marketing Projected Send Date,Email Marketing Actual Send Date (Start),Email Marketing Actual Send Date (Completion),Total # Email Sent,Sent Email (Deficit) Overage,Campaign - Total Projected Links From Email Sent,Total # of Links Built,Email Marketing: History/Notes/Issues,Total Projected Links Built To Date,Projected Conversion % - To Date,Actual Conversion %,Performance - Links Builts Vs. Projected to Date,Total ULD Built,Total Actual Contacts Harvested (Ref Only)
867,RMI,884,Wyoming,OnlineColleges.net,Done - Seattle Override,Nam Phan <58705208.c6ap>,Not Started,,,,7,,,,"2,666.6666666667",276,"-2,390.6666666667","1,481.4814814815",10,492,-989.48148148148,4,867,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=867&z=bgfb,,In Progress,,03-01-2016,,746,-735.48148148148,5.595,5,,5.365866,0.71928498659517%,0.67024128686327%,-0.365866,4,492
870,RMI,887,OS-Online-Schools,OnlineSchools.org,Done - Seattle Override,Michellen Meneses <58825601.fjbv>,Complete,03-29-2016,,04-04-2016,7,04-13-2016,05-04-2016,,"8,000","38,384","30,384","4,444.4444444444",20,"7,121","2,676.5555555556",6,870,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=870&z=bgfb,,In Progress,,04-06-2016,,2681,"-1,763.4444444444",13.405,10,,12.867172,0.4799392763894%,0.37299515106304%,-2.867172,10,7121
871,RMI,888,OS-Elementary-School,OnlineSchools.org,Done - Seattle Override,Michellen Meneses <58825601.fjbv>,Complete,03-29-2016,,04-04-2016,7,04-13-2016,05-06-2016,,"4,000","20,064","16,064","2,222.2222222222",10,"4,802","2,579.7777777778",6,871,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=871&z=bgfb,,Complete,,04-06-2016,04-19-2016,4414,"2,191.7777777778",22.07,14,,21.123532,0.478557589488%,0.31717263253285%,-7.123532,8,4802
872,RMI,889,OS-Middle-School,OnlineSchools.org,Done - Seattle Override,Michellen Meneses <58825601.fjbv>,Complete,03-29-2016,,04-07-2016,7,04-18-2016,05-07-2016,,"6,000","20,599","14,599","3,333.3333333333",15,"4,138",804.66666666667,3,872,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=872&z=bgfb,,In Progress,,04-20-2016,,1175,"-2,158.3333333333",5.875,0,,5.591825,0.4759%,0%,-5.591825,0,4138
873,RMI,890,OS-High-School,OnlineSchools.org,Done - Seattle Override,Michellen Meneses <58825601.fjbv>,Complete,03-29-2016,,04-04-2016,7,04-13-2016,05-07-2016,,"10,000","26,008","16,008","5,555.5555555556",25,"5,617",61.444444444444,7,873,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=873&z=bgfb,,In Progress,,04-20-2016,,2977,"-2,578.5555555556",14.885,36,,14.167543,0.4759%,1.2092710782667%,21.832457,19,5617
874,RMI,891,OS-Financial-Aid-Minority,OnlineSchools.org,Done - Seattle Override,Michellen Meneses <58825601.fjbv>,Complete,03-29-2016,,04-08-2016,7,04-19-2016,05-09-2016,,"6,000","35,702","29,702","3,333.3333333333",15,"3,896",562.66666666667,7,874,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=874&z=bgfb,,In Progress,,04-20-2016,,1180,"-2,153.3333333333",5.9,82,,5.61562,0.4759%,6.9491525423729%,76.38438,51,3896
875,RMI,892,OS-Graduate,OnlineSchools.org,Done - Seattle Override,Michellen Meneses <58825601.fjbv>,Complete,03-29-2016,,04-09-2016,7,04-20-2016,05-02-2016,,0,"151,226","151,226",0,0,"9,001","9,001",20,875,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=875&z=bgfb,,Not Started,,,,0,0,0,0,,0,,,0,0,9001
876,RMI,893,OS-Financial-Aid,OnlineSchools.org,Done - Seattle Override,Michellen Meneses <58825601.fjbv>,Complete,03-29-2016,,04-19-2016,7,04-28-2016,04-19-2016,,"6,000",0,"-6,000","3,333.3333333333",15,"9,496","6,162.6666666667",1,876,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=876&z=bgfb,,Complete,,04-20-2016,04-20-2016,6051,"2,717.6666666667",30.255,78,,28.796709,0.4759%,1.2890431333664%,49.203291,52,9496
877,RMI,894,OS-College,OnlineSchools.org,Done - Seattle Override,Michellen Meneses <58825601.fjbv>,Complete,03-29-2016,,04-12-2016,7,04-21-2016,04-12-2016,,0,8495,"8,495",0,0,"2,423","2,423",2,877,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=877&z=bgfb,,Not Started,,,,0,0,0,0,,0,,,0,0,2423
878,RMI,895,OS-Financial-Aid-Disability,OnlineSchools.org,Done - Seattle Override,Michellen Meneses <58825601.fjbv>,Complete,03-29-2016,,04-12-2016,7,04-21-2016,04-12-2016,,"6,000",0,"-6,000","3,333.3333333333",15,"3,945",611.66666666667,1,878,https://donniedinh.quickbase.com/db/bkmbxb9k6?a=API_GenAddRecordForm&_fid_27=878&z=bgfb,,In Progress,,04-12-2016,,1783,"-1,550.3333333333",8.915,42,,8.545919,0.4793%,2.3555804823331%,33.454081,27,3945
